title,genres,keywords,cast,crew,budget,revenue,popularity,vote_average,vote_count,overview,main_genre,profit,roi,tags,llm_genre
Hostel,['Horror'],"['bathroom', 'sex', 'amsterdam', 'europe', 'brothel', 'slovakia', 'backpacker', 'horror', 'gore', 'blood', 'torture', 'business card', 'doberman', 'hostel', 'surgery', 'elite club', 'fingers']","['Jay Hernandez', 'Derek Richardson', 'Eythor Gudjonsson']",['Eli Roth'],4800000,80578934,38.83192,5.7,887,"Three backpackers head to a Slovakian city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them.",Horror,75778934,15.787277916666667,Horror bathroom sex amsterdam europe brothel slovakia backpacker horror gore blood torture business card doberman hostel surgery elite club fingers Jay Hernandez Derek Richardson Eythor Gudjonsson Eli Roth,Horror
The Green Inferno,"['Action', 'Adventure', 'Horror', 'Thriller']","['chile', 'gore', 'jungle', 'extreme violence', 'cannibal', 'south america']","['Lorenza Izzo', 'Ariel Levy', 'Sky Ferreira']",['Eli Roth'],5000000,6833445,17.845161,5.0,349,"A group of student activists travel from New York City to the Amazon to save the rainforest.  However, once they arrive in this vast green landscape, they soon discover that they are not alone… and that no good deed goes unpunished.",Action,1833445,0.366689,Action Adventure Horror Thriller chile gore jungle extreme violence cannibal south america Lorenza Izzo Ariel Levy Sky Ferreira Eli Roth,Horror
City of God,"['Drama', 'Crime']","['male nudity', 'street gang', 'brazilian', 'photographer', '1970s', 'puberty', 'ghetto', 'gang war', 'coming of age', 'woman director', '1980s']","['Alexandre Rodrigues', 'Leandro Firmino', 'Phellipe Haagensen']",['Fernando Meirelles'],3300000,30641770,44.356711,8.1,1814,"Cidade de Deus is a shantytown that started during the 1960s and became one of Rio de Janeiro’s most dangerous places in the beginning of the 1980s. To tell the story of this place, the movie describes the life of various characters, all seen by the point of view of the narrator, Buscapé. Buscapé was raised in a very violent environment. Despite the feeling that all odds were against him, he finds out that life can be seen with other eyes: The eyes of an artist. By accident, he becomes a professional photographer, gaining his freedom.",Drama,27341770,8.28538484848485,Drama Crime male nudity street gang brazilian photographer 1970s puberty ghetto gang war coming of age woman director 1980s Alexandre Rodrigues Leandro Firmino Phellipe Haagensen Fernando Meirelles,Other
Spider-Man 2,"['Action', 'Adventure', 'Fantasy']","['dual identity', ""love of one's life"", 'pizza boy', 'marvel comic', 'sequel', 'superhero', 'doctor', 'scientist', 'tentacle', 'death', 'super villain']","['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",['Sam Raimi'],200000000,783766341,35.149586,6.7,4321,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",Action,583766341,2.918831705,Action Adventure Fantasy dual identity love of one's life pizza boy marvel comic sequel superhero doctor scientist tentacle death super villain Tobey Maguire Kirsten Dunst James Franco Sam Raimi,Comedy
Mars Needs Moms,"['Adventure', 'Animation', 'Family']","['boy', 'alien', 'rescue', 'martian', 'alien abduction', 'alien invasion', ""based on children's book"", 'duringcreditsstinger']","['Seth Green', 'Joan Cusack', 'Dan Fogler']",['Simon Wells'],150000000,38992758,12.362599,5.5,199,"When Martians suddenly abduct his mom, mischievous Milo rushes to the rescue and discovers why all moms are so special.",Adventure,-111007242,-0.74004828,Adventure Animation Family boy alien rescue martian alien abduction alien invasion based on children's book duringcreditsstinger Seth Green Joan Cusack Dan Fogler Simon Wells,Comedy
Divergent,"['Adventure', 'Action', 'Science Fiction']","['based on novel', 'dystopia', 'youth', 'dystopic future', 'caste system', 'divergent', 'based on young adult novel']","['Shailene Woodley', 'Theo James', 'Kate Winslet']",['Neil Burger'],85000000,288747895,80.316463,6.9,4663,"In a world divided into factions based on personality types, Tris learns that she's been classified as Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",Adventure,203747895,2.3970340588235293,Adventure Action Science Fiction based on novel dystopia youth dystopic future caste system divergent based on young adult novel Shailene Woodley Theo James Kate Winslet Neil Burger,Action
Red Dawn,"['Action', 'Thriller']","['guerrilla', 'colorado', 'invasion', 'anti-communism', 'near future', 'red army']","['Patrick Swayze', 'C. Thomas Howell', 'Lea Thompson']",['John Milius'],4200000,38376497,11.743085,6.4,215,"It is the mid-1980s. From out of the sky, Soviet and Cuban troops begin landing on the football field of a Colorado high school. In seconds, the paratroops have attacked the school and sent a group of teenagers fleeing into the mountains. Armed only with hunting rifles, pistols and bows and arrows, the teens struggles to survive the bitter winter and Soviet KGB patrols hunting for them.",Action,34176497,8.13726119047619,Action Thriller guerrilla colorado invasion anti-communism near future red army Patrick Swayze C. Thomas Howell Lea Thompson John Milius,Horror
Speed 2: Cruise Control,"['Action', 'Adventure', 'Thriller']","['boat', 'cruise', 'computer', 'disaster', 'diamond', 'collision course']","['Sandra Bullock', 'Jason Patric', 'Willem Dafoe']",['Jan de Bont'],160000000,164508066,23.336875,4.1,434,Sandra Bullock and Jason Patric star as a young couple whose dream cruise turns to terror when a lunatic computer genius (Willem Dafoe) sets a new course for destruction.,Action,4508066,0.0281754125,Action Adventure Thriller boat cruise computer disaster diamond collision course Sandra Bullock Jason Patric Willem Dafoe Jan de Bont,Horror
Legally Blonde,['Comedy'],"['harvard law school', 'black female judge', 'smart blonde', 'girl power']","['Reese Witherspoon', 'Luke Wilson', 'Selma Blair']",['Robert Luketic'],18000000,141774679,25.43954,6.1,882,"Elle Woods has it all. She's the president of her sorority, a Hawaiian Tropic girl, Miss June in her campus calendar, and, above all, a natural blonde. She dates the cutest fraternity boy on campus and wants nothing more than to be Mrs. Warner Huntington III. But, there's just one thing stopping Warner from popping the question: Elle is too blonde.",Comedy,123774679,6.8763710555555555,Comedy harvard law school black female judge smart blonde girl power Reese Witherspoon Luke Wilson Selma Blair Robert Luketic,Romance
Flipped,"['Romance', 'Drama']","['shyness', 'based on novel', 'unrequited love', 'neighbor', 'family relationships', 'first crush', 'young love', 'opposites attract', 'adolescent boy', 'based on young adult novel']","['Madeline Carroll', 'Callan McAuliffe', 'Rebecca De Mornay']",['Rob Reiner'],14000000,1755212,24.210698,7.4,418,"When Juli meets Bryce in the second grade, she knows it's true love. After spending six years trying to convince Bryce the same, she's ready to give up - until he starts to reconsider.",Romance,-12244788,-0.8746277142857143,Romance Drama shyness based on novel unrequited love neighbor family relationships first crush young love opposites attract adolescent boy based on young adult novel Madeline Carroll Callan McAuliffe Rebecca De Mornay Rob Reiner,Romance
