title,genres,keywords,cast,crew,budget,revenue,popularity,vote_average,vote_count,overview,main_genre,profit,roi,tags
Avatar,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['culture clash', 'future', 'space war', 'space colony', 'society', 'space travel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alien planet', 'cgi', 'marine', 'soldier', 'battle', 'love affair', 'anti war', 'power relations', 'mind and soul', '3d']","['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",['James Cameron'],237000000,2787965087,150.437577,7.2,11800,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",Action,2550965087,10.763565767932489,Action Adventure Fantasy Science Fiction culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind and soul 3d Sam Worthington Zoe Saldana Sigourney Weaver James Cameron
Pirates of the Caribbean: At World's End,"['Adventure', 'Fantasy', 'Action']","['ocean', 'drug abuse', 'exotic island', 'east india trading company', ""love of one's life"", 'traitor', 'shipwreck', 'strong woman', 'ship', 'alliance', 'calypso', 'afterlife', 'fighter', 'pirate', 'swashbuckler', 'aftercreditsstinger']","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",['Gore Verbinski'],300000000,961000000,139.082615,6.9,4500,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",Adventure,661000000,2.203333333333333,Adventure Fantasy Action ocean drug abuse exotic island east india trading company love of one's life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger Johnny Depp Orlando Bloom Keira Knightley Gore Verbinski
Spectre,"['Action', 'Adventure', 'Crime']","['spy', 'based on novel', 'secret agent', 'sequel', 'mi6', 'british secret service', 'united kingdom']","['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']",['Sam Mendes'],245000000,880674609,107.376788,6.3,4466,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",Action,635674609,2.5945902408163266,Action Adventure Crime spy based on novel secret agent sequel mi6 british secret service united kingdom Daniel Craig Christoph Waltz Léa Seydoux Sam Mendes
The Dark Knight Rises,"['Action', 'Crime', 'Drama', 'Thriller']","['dc comics', 'crime fighter', 'terrorist', 'secret identity', 'burglar', 'hostage drama', 'time bomb', 'gotham city', 'vigilante', 'cover-up', 'superhero', 'villainess', 'tragic hero', 'terrorism', 'destruction', 'catwoman', 'cat burglar', 'imax', 'flood', 'criminal underworld', 'batman']","['Christian Bale', 'Michael Caine', 'Gary Oldman']",['Christopher Nolan'],250000000,1084939099,112.31295,7.6,9106,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",Action,834939099,3.339756396,Action Crime Drama Thriller dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante cover-up superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman Christian Bale Michael Caine Gary Oldman Christopher Nolan
John Carter,"['Action', 'Adventure', 'Science Fiction']","['based on novel', 'mars', 'medallion', 'space travel', 'princess', 'alien', 'steampunk', 'martian', 'escape', 'edgar rice burroughs', 'alien race', 'superhuman strength', 'mars civilization', 'sword and planet', '19th century', '3d']","['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton']",['Andrew Stanton'],260000000,284139100,43.926995,6.1,2124,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",Action,24139100,0.0928426923076923,Action Adventure Science Fiction based on novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword and planet 19th century 3d Taylor Kitsch Lynn Collins Samantha Morton Andrew Stanton
Spider-Man 3,"['Fantasy', 'Action', 'Adventure']","['dual identity', 'amnesia', 'sandstorm', ""love of one's life"", 'forgiveness', 'spider', 'wretch', 'death of a friend', 'egomania', 'sand', 'narcism', 'hostility', 'marvel comic', 'sequel', 'superhero', 'revenge']","['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",['Sam Raimi'],258000000,890871626,115.699814,5.9,3576,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",Fantasy,632871626,2.4529907984496124,Fantasy Action Adventure dual identity amnesia sandstorm love of one's life forgiveness spider wretch death of a friend egomania sand narcism hostility marvel comic sequel superhero revenge Tobey Maguire Kirsten Dunst James Franco Sam Raimi
Tangled,"['Animation', 'Family']","['hostage', 'magic', 'horse', 'fairy tale', 'musical', 'princess', 'animation', 'tower', 'blonde woman', 'selfishness', 'healing power', 'based on fairy tale', 'duringcreditsstinger', 'healing gift', 'animal sidekick']","['Zachary Levi', 'Mandy Moore', 'Donna Murphy']",['Byron Howard'],260000000,591794936,48.681969,7.4,3330,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",Animation,331794936,1.2761343692307692,Animation Family hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based on fairy tale duringcreditsstinger healing gift animal sidekick Zachary Levi Mandy Moore Donna Murphy Byron Howard
Avengers: Age of Ultron,"['Action', 'Adventure', 'Science Fiction']","['marvel comic', 'sequel', 'superhero', 'based on comic book', 'vision', 'superhero team', 'duringcreditsstinger', 'marvel cinematic universe', '3d']","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",['Joss Whedon'],280000000,1405403694,134.279229,7.3,6767,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",Action,1125403694,4.019298907142857,Action Adventure Science Fiction marvel comic sequel superhero based on comic book vision superhero team duringcreditsstinger marvel cinematic universe 3d Robert Downey Jr. Chris Hemsworth Mark Ruffalo Joss Whedon
Harry Potter and the Half-Blood Prince,"['Adventure', 'Fantasy', 'Family']","['witch', 'magic', 'broom', 'school of witchcraft', 'wizardry', 'apparition', 'teenage crush', 'werewolf']","['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",['David Yates'],250000000,933959197,98.885637,7.4,5293,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",Adventure,683959197,2.735836788,Adventure Fantasy Family witch magic broom school of witchcraft wizardry apparition teenage crush werewolf Daniel Radcliffe Rupert Grint Emma Watson David Yates
Batman v Superman: Dawn of Justice,"['Action', 'Adventure', 'Fantasy']","['dc comics', 'vigilante', 'superhero', 'based on comic book', 'revenge', 'super powers', 'clark kent', 'bruce wayne', 'dc extended universe']","['Ben Affleck', 'Henry Cavill', 'Gal Gadot']",['Zack Snyder'],250000000,873260194,155.790452,5.7,7004,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",Action,623260194,2.493040776,Action Adventure Fantasy dc comics vigilante superhero based on comic book revenge super powers clark kent bruce wayne dc extended universe Ben Affleck Henry Cavill Gal Gadot Zack Snyder
